Source,IMD,,,,,,,,,,,,,,
State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total
Andhra Pradesh,Ananthapur,2010,26.9,0,0,47.1,106.2,75.1,109,172.6,75,76.4,162.2,3.3,853.8
Andhra Pradesh,Chittoor,2004,3.8,2.5,2.9,33.8,184.1,35.3,97.3,19.6,200.6,150.5,79.8,0,810.2
Andhra Pradesh,Chittoor,2005,0,27.1,13,59.4,78.8,105.3,109.1,155.5,203.3,365.2,286.2,141,1543.9
Andhra Pradesh,Chittoor,2006,1.5,0,48,20.6,80.6,123.4,17,96.8,141.5,161.2,115.1,38.9,844.6
Andhra Pradesh,Chittoor,2007,0,2.9,0,26.7,66.2,101.1,141.8,200.7,115.5,214.4,55.4,167.5,1092.2
Andhra Pradesh,Chittoor,2008,15.9,3.4,51.7,3.1,78.5,37.6,99.6,82.7,146.6,170.3,253.1,10.8,953.3
Andhra Pradesh,Chittoor,2009,1.3,0,0.3,5.1,54.8,63.4,31.8,154.2,148.7,47.5,188.1,59.2,754.4
Andhra Pradesh,Chittoor,2010,2.1,0,1.3,17.3,107.1,94.7,162.3,150.1,123,101.8,248.9,70.9,1079.5
Andhra Pradesh,Kadapa,2004,0,0.2,8.7,26.3,146.1,22.8,134,12.9,181.7,74.5,25.3,0,632.5
Andhra Pradesh,Kadapa,2005,0,4.4,5,26.6,39.4,37.8,125.9,96.2,69,333.9,91.8,39.6,869.6
Andhra Pradesh,Kadapa,2006,0,0,35.6,3.8,67.5,43.1,57.1,45.9,162.8,40.2,58.3,13.1,527.4
Andhra Pradesh,Kadapa,2007,0,0,0,14.7,25.2,204.4,52.2,187.9,186,189.5,32.2,18.7,910.8
Andhra Pradesh,Kadapa,2008,0,33.7,47.6,0,26.7,8.9,45.1,97.9,107.1,95.3,185,1.4,648.7
Andhra Pradesh,Kadapa,2009,0.1,0,3.2,2.4,50,48,23.9,146.2,150.7,18.7,123.3,25.1,591.6
Andhra Pradesh,Kadapa,2010,0,2.3,0,13.9,51.9,122.1,160.1,139.6,82.7,74.9,213.5,38.7,899.7
Andhra Pradesh,East Godavari,2004,5,1.9,0,33.7,60.4,154.4,208.6,216.4,155.3,147,0.4,0.2,983.3
Andhra Pradesh,East Godavari,2005,6.2,6.2,8.5,55,25.3,115.8,179.7,103.6,545.6,362,19.9,0,1427.8
Andhra Pradesh,East Godavari,2006,0,0,8.9,61.8,66.4,98.4,107,288.8,229.9,277.8,45,0,1184.0
Andhra Pradesh,East Godavari,2007,0,10.5,0.8,16.2,26.1,221.8,163.6,182.6,348.5,167.6,8.7,1.3,1147.7
Andhra Pradesh,East Godavari,2008,0,49.8,109.2,8.8,50.1,179.3,212.1,280,96.6,75.7,60.2,1.7,1123.5
Andhra Pradesh,East Godavari,2009,0.1,0,1.3,6,43.8,22.4,173,125.3,120.1,59.4,56,0.3,607.7
Andhra Pradesh,East Godavari,2010,1.6,0,0.4,10.9,174.7,167.9,350.4,247.7,170.6,242.4,407.4,134.8,1908.8
Andhra Pradesh,Guntur,2004,3.5,0.4,7,9.4,61.4,102.9,192.2,47.5,183.7,132.8,18.7,0,759.5
Andhra Pradesh,Guntur,2005,0.3,5.2,4.7,7.6,63.3,22.2,236,76.2,277.9,237.4,18.6,3.3,952.7
Andhra Pradesh,Guntur,2006,0,0,45.2,73.6,63.6,86.5,52.6,78.9,148,238.8,65.4,0,852.6
Andhra Pradesh,Guntur,2007,0,12.1,0,15.4,32.8,243.6,167.3,157.7,222.5,115.7,40.8,0.7,1008.6
Andhra Pradesh,Guntur,2008,0.4,45.3,84.1,5.3,2.5,95,178.7,297.5,78.8,39.3,133.3,4.3,964.5
Andhra Pradesh,Guntur,2009,0,0,5,0,55,33.2,27.1,227,142.5,64.8,84.3,4.7,643.6
Andhra Pradesh,Guntur,2010,8.6,0,0,9.2,165.3,124.2,349,229.5,233.9,141.7,104.9,118.8,1485.1
Andhra Pradesh,Hyderabad,2004,39.5,0.6,32.4,59,41.9,29.4,221.4,68.7,118.2,72.8,0.2,0,684.1
Andhra Pradesh,Hyderabad,2005,40,10.3,18.7,24.8,21.8,88.9,369.7,115.4,220.6,221.7,0,0,1131.9
Andhra Pradesh,Hyderabad,2006,0,0,41.6,67.9,100.3,78.7,156.1,225.9,201.1,17.8,33.5,0,922.9
